id,Datum,Fastenzeit
140218,2014-02-18,0
140219,2014-02-19,0
140220,2014-02-20,0
140221,2014-02-21,0
140222,2014-02-22,0
140223,2014-02-23,0
140224,2014-02-24,0
140225,2014-02-25,0
140226,2014-02-26,0
140227,2014-02-27,0
140228,2014-02-28,0
140301,2014-03-01,0
140302,2014-03-02,0
140303,2014-03-03,0
140304,2014-03-04,0
140305,2014-03-05,1
140306,2014-03-06,1
140307,2014-03-07,1
140308,2014-03-08,1
140309,2014-03-09,1
140310,2014-03-10,1
140311,2014-03-11,1
140312,2014-03-12,1
140313,2014-03-13,1
140314,2014-03-14,1
140315,2014-03-15,1
140316,2014-03-16,1
140317,2014-03-17,1
140318,2014-03-18,1
140319,2014-03-19,1
140320,2014-03-20,1
140321,2014-03-21,1
140322,2014-03-22,1
140323,2014-03-23,1
140324,2014-03-24,1
140325,2014-03-25,1
140326,2014-03-26,1
140327,2014-03-27,1
140328,2014-03-28,1
140329,2014-03-29,1
140330,2014-03-30,1
140331,2014-03-31,1
140401,2014-04-01,1
140402,2014-04-02,1
140403,2014-04-03,1
140404,2014-04-04,1
140405,2014-04-05,1
140406,2014-04-06,1
140407,2014-04-07,1
140408,2014-04-08,1
140409,2014-04-09,1
140410,2014-04-10,1
140411,2014-04-11,1
140412,2014-04-12,1
140413,2014-04-13,1
140414,2014-04-14,1
140415,2014-04-15,1
140416,2014-04-16,1
140417,2014-04-17,1
140418,2014-04-18,1
140419,2014-04-19,1
140420,2014-04-20,0
140421,2014-04-21,0
140422,2014-04-22,0
140423,2014-04-23,0
140424,2014-04-24,0
140425,2014-04-25,0
140426,2014-04-26,0
140427,2014-04-27,0
140428,2014-04-28,0
140429,2014-04-29,0
140430,2014-04-30,0
140501,2014-05-01,0
140502,2014-05-02,0
140503,2014-05-03,0
140504,2014-05-04,0
140505,2014-05-05,0
140506,2014-05-06,0
140507,2014-05-07,0
140508,2014-05-08,0
140509,2014-05-09,0
140510,2014-05-10,0
140511,2014-05-11,0
140512,2014-05-12,0
140513,2014-05-13,0
140514,2014-05-14,0
140515,2014-05-15,0
140516,2014-05-16,0
140517,2014-05-17,0
140518,2014-05-18,0
140519,2014-05-19,0
140520,2014-05-20,0
140521,2014-05-21,0
140522,2014-05-22,0
140523,2014-05-23,0
140524,2014-05-24,0
140525,2014-05-25,0
140526,2014-05-26,0
140527,2014-05-27,0
140528,2014-05-28,0
140529,2014-05-29,0
140530,2014-05-30,0
140531,2014-05-31,0
140601,2014-06-01,0
140602,2014-06-02,0
140603,2014-06-03,0
140604,2014-06-04,0
140605,2014-06-05,0
140606,2014-06-06,0
140607,2014-06-07,0
140608,2014-06-08,0
140609,2014-06-09,0
140610,2014-06-10,0
140611,2014-06-11,0
140612,2014-06-12,0
140613,2014-06-13,0
140614,2014-06-14,0
140615,2014-06-15,0
140616,2014-06-16,0
140617,2014-06-17,0
140618,2014-06-18,0
140619,2014-06-19,0
140620,2014-06-20,0
140621,2014-06-21,0
140622,2014-06-22,0
140623,2014-06-23,0
140624,2014-06-24,0
140625,2014-06-25,0
140626,2014-06-26,0
140627,2014-06-27,0
140628,2014-06-28,0
140629,2014-06-29,0
140630,2014-06-30,0
140701,2014-07-01,0
140702,2014-07-02,0
140703,2014-07-03,0
140704,2014-07-04,0
140705,2014-07-05,0
140706,2014-07-06,0
140707,2014-07-07,0
140708,2014-07-08,0
140709,2014-07-09,0
140710,2014-07-10,0
140711,2014-07-11,0
140712,2014-07-12,0
140713,2014-07-13,0
140714,2014-07-14,0
140715,2014-07-15,0
140716,2014-07-16,0
140717,2014-07-17,0
140718,2014-07-18,0
140719,2014-07-19,0
140720,2014-07-20,0
140721,2014-07-21,0
140722,2014-07-22,0
140723,2014-07-23,0
140724,2014-07-24,0
140725,2014-07-25,0
140726,2014-07-26,0
140727,2014-07-27,0
140728,2014-07-28,0
140729,2014-07-29,0
140730,2014-07-30,0
140731,2014-07-31,0
140801,2014-08-01,0
140802,2014-08-02,0
140803,2014-08-03,0
140804,2014-08-04,0
140805,2014-08-05,0
140806,2014-08-06,0
140807,2014-08-07,0
140808,2014-08-08,0
140809,2014-08-09,0
140810,2014-08-10,0
140811,2014-08-11,0
140812,2014-08-12,0
140813,2014-08-13,0
140814,2014-08-14,0
140815,2014-08-15,0
140816,2014-08-16,0
140817,2014-08-17,0
140818,2014-08-18,0
140819,2014-08-19,0
140820,2014-08-20,0
140821,2014-08-21,0
140822,2014-08-22,0
140823,2014-08-23,0
140824,2014-08-24,0
140825,2014-08-25,0
140826,2014-08-26,0
140827,2014-08-27,0
140828,2014-08-28,0
140829,2014-08-29,0
140830,2014-08-30,0
140831,2014-08-31,0
140901,2014-09-01,0
140902,2014-09-02,0
140903,2014-09-03,0
140904,2014-09-04,0
140905,2014-09-05,0
140906,2014-09-06,0
140907,2014-09-07,0
140908,2014-09-08,0
140909,2014-09-09,0
140910,2014-09-10,0
140911,2014-09-11,0
140912,2014-09-12,0
140913,2014-09-13,0
140914,2014-09-14,0
140915,2014-09-15,0
140916,2014-09-16,0
140917,2014-09-17,0
140918,2014-09-18,0
140919,2014-09-19,0
140920,2014-09-20,0
140921,2014-09-21,0
140922,2014-09-22,0
140923,2014-09-23,0
140924,2014-09-24,0
140925,2014-09-25,0
140926,2014-09-26,0
140927,2014-09-27,0
140928,2014-09-28,0
140929,2014-09-29,0
140930,2014-09-30,0
141001,2014-10-01,0
141002,2014-10-02,0
141003,2014-10-03,0
141004,2014-10-04,0
141005,2014-10-05,0
141006,2014-10-06,0
141007,2014-10-07,0
141008,2014-10-08,0
141009,2014-10-09,0
141010,2014-10-10,0
141011,2014-10-11,0
141012,2014-10-12,0
141013,2014-10-13,0
141014,2014-10-14,0
141015,2014-10-15,0
141016,2014-10-16,0
141017,2014-10-17,0
141018,2014-10-18,0
141019,2014-10-19,0
141020,2014-10-20,0
141021,2014-10-21,0
141022,2014-10-22,0
141023,2014-10-23,0
141024,2014-10-24,0
141025,2014-10-25,0
141026,2014-10-26,0
141027,2014-10-27,0
141028,2014-10-28,0
141029,2014-10-29,0
141030,2014-10-30,0
